DEPT,DPHI,NPHI,GR,CALI,ILD
515.75,0.319,0.41,57.849,280.655,3.808
516,0.32,0.42,58.129,280.685,3.638
516.25,0.323,0.43,57.913,280.535,3.501
516.5,0.325,0.434,55.089,280.694,3.413
516.75,0.326,0.421,49.849,280.538,3.378
517,0.324,0.408,51.746,280.587,3.394
517.25,0.321,0.435,53.015,280.441,3.494
517.5,0.32,0.446,49.884,280.798,3.638
517.75,0.321,0.433,48.052,281.259,3.752
518,0.324,0.448,51.06,281.628,3.672
518.25,0.326,0.452,53.822,281.681,3.662
518.5,0.327,0.447,55.404,281.834,3.631
518.75,0.326,0.439,55.374,281.881,3.621
519,0.329,0.427,54.041,282.241,3.61
519.25,0.33,0.415,52.086,282.815,3.614
519.5,0.328,0.421,48.955,283.799,3.631
519.75,0.333,0.45,49.173,284.471,3.675
520,0.336,0.448,51.558,284.832,3.727
520.25,0.337,0.431,51.28,284.366,3.78
520.5,0.335,0.413,50.632,283.285,3.833
520.75,0.331,0.4,51.097,282.301,3.895
521,0.326,0.403,54.292,281.217,3.935
521.25,0.324,0.435,60.087,280.34,3.969
521.5,0.323,0.42,59.002,280.086,3.979
521.75,0.321,0.413,55.747,279.933,4.036
522,0.321,0.41,51.065,279.983,4.116
522.25,0.321,0.402,51.035,280.239,4.19
522.5,0.32,0.393,52.12,280.084,4.202
522.75,0.325,0.397,55.561,279.824,4.112
523,0.33,0.404,55.469,279.46,3.92
523.25,0.327,0.407,52.154,279.112,3.669
523.5,0.321,0.411,51.502,278.744,3.465
523.75,0.319,0.422,53.455,278.693,3.297
524,0.309,0.438,57.085,278.843,3.173
524.25,0.265,0.387,62.322,278.893,3.194
524.5,0.223,0.336,65.767,278.852,3.338
524.75,0.135,0.27,64.743,278.692,3.56
525,0.141,0.289,71.159,278.739,3.995
525.25,0.162,0.325,72.681,278.794,4.499
525.5,0.188,0.424,71.038,278.854,5.057
525.75,0.221,0.452,67.471,278.596,5.138
526,0.273,0.457,59.75,278.649,4.745
526.25,0.305,0.441,59.537,279.007,4.358
526.5,0.293,0.427,61.364,279.058,3.972
526.75,0.277,0.413,61.83,279.725,3.675
527,0.262,0.408,62.051,280.717,3.53
527.25,0.247,0.416,62.264,281.591,3.527
527.5,0.27,0.424,61.612,282.259,3.611
527.75,0.29,0.441,57.18,282.621,3.655
528,0.304,0.464,57.4,282.574,3.699
528.25,0.294,0.445,58.608,283.141,3.766
528.5,0.278,0.425,59.879,284.96,3.833
528.75,0.262,0.417,61.401,286.761,4.006
529,0.258,0.416,62.857,289.288,4.17
529.25,0.255,0.417,65.251,292.345,4.399
529.5,0.218,0.416,67.323,293.743,4.554
529.75,0.212,0.424,69.025,293.063,4.592
530,0.232,0.446,65.336,288.879,4.511
530.25,0.258,0.435,62.515,286.449,4.399
530.5,0.261,0.437,61.307,285.365,4.297
530.75,0.261,0.434,64.066,285.428,4.293
531,0.247,0.421,68.004,285.676,4.428
531.25,0.238,0.429,69.524,285.935,4.618
531.5,0.224,0.422,64.845,286.3,4.881
531.75,0.211,0.406,60.286,286.358,5.061
532,0.215,0.413,61.185,286.307,5.23
532.25,0.224,0.409,65.31,286.358,5.335
532.5,0.221,0.397,65.897,286.509,5.42
532.75,0.227,0.424,61.835,286.557,5.455
533,0.24,0.459,64.907,286.411,5.369
533.25,0.233,0.403,64.255,286.153,5.274
533.5,0.215,0.375,61.31,286.203,5.182
533.75,0.179,0.352,63.637,285.846,5.177
534,0.188,0.405,68.072,285.27,5.269
534.25,0.218,0.457,62.398,284.501,5.496
534.5,0.19,0.271,55.114,284.031,5.884
534.75,0.132,0.266,49.126,284.401,6.444
535,0.074,0.376,61.375,284.966,6.758
535.25,0.16,0.405,66.924,286.578,6.958
535.5,0.199,0.409,71.856,287.554,6.809
535.75,0.21,0.4,71.886,288.74,6.383
536,0.2,0.398,72.231,289.723,5.863
536.25,0.201,0.415,73.318,290.503,5.506
536.5,0.213,0.428,74.03,290.969,5.25
536.75,0.221,0.439,73.995,291.431,5.09
